,last_move,predicted_position,target_position,shape,region,color,steps,time
40,right,[25  5],[9 7],P,center,green,20,2.2332730293273926
41,right,[29  9],[10  8],P,center,green,20,2.235287666320801
42,right,[11  9],[12  6],P,center,green,20,2.2344934940338135
43,right,[29  9],[14  3],P,top right,green,20,2.2354061603546143
44,right,[29  9],[14 16],P,bottom right,green,20,2.3167245388031006
45,right,[29  9],[10 16],P,bottom,green,20,2.344054937362671
46,right,[17  9],[6 4],P,top,green,20,2.2418019771575928
47,right,[29  9],[15 11],P,right,green,20,2.237597703933716
48,right,[29  9],[9 6],P,center,green,20,2.232670307159424
49,right,[29  9],[14  9],P,right,green,20,2.2392258644104004
50,right,[15  9],[2 7],P,left,green,20,2.2342581748962402
51,right,[27  7],[ 9 12],P,center,green,20,2.2342495918273926
52,up,[  9 -11],[6 9],P,center,green,20,2.2334136962890625
53,up,[16 -4],[2 2],P,top left,green,20,2.232802152633667
54,down,[15 23],[ 9 13],P,bottom,green,20,2.2342605590820312
55,right,[29  9],[13 14],P,bottom right,green,20,2.2348170280456543
56,left,[-11   9],[2 9],P,left,green,20,2.2329251766204834
57,right,[29  9],[13 14],P,bottom right,green,20,2.230804920196533
58,left,[9 9],[12  6],P,center,green,20,2.2351016998291016
59,up,[  9 -11],[5 3],P,top left,green,20,2.231691837310791
60,left,[-8  6],[ 2 11],P,left,yellow,20,2.2306900024414062
61,right,[29  9],[12  9],P,center,yellow,20,2.2320847511291504
62,left,[-9  7],[ 3 10],P,left,yellow,20,2.2333734035491943
63,right,[29  9],[11  3],P,top,yellow,20,2.2321972846984863
64,right,[29  9],[14  8],P,right,yellow,20,2.2344741821289062
65,right,[29  9],[13  7],P,right,yellow,20,2.2334585189819336
66,down,[ 9 29],[ 2 13],P,bottom left,yellow,20,2.2347910404205322
67,right,[29  9],[15 11],P,right,yellow,20,2.2348005771636963
68,right,[29  9],[13 14],P,bottom right,yellow,20,2.2362444400787354
69,right,[29  9],[ 6 16],P,bottom,yellow,20,2.2339389324188232
70,right,[24 14],[ 2 14],P,bottom left,yellow,20,2.235973596572876
71,down,[ 9 29],[ 2 15],P,bottom left,yellow,20,2.3700010776519775
72,right,[26  6],[10  7],P,center,yellow,20,2.24039626121521
73,right,[28  8],[11  8],P,center,yellow,20,2.236175775527954
74,up,[11 -9],[ 8 10],P,center,yellow,20,2.238694190979004
75,up,[  9 -11],[2 5],P,top left,yellow,20,2.236093521118164
76,right,[8 8],[12  2],P,top,yellow,20,2.2348296642303467
77,right,[29  9],[15  8],P,right,yellow,20,2.2516860961914062
78,right,[29  9],[ 9 10],P,center,yellow,20,2.2279164791107178
79,right,[29  9],[8 6],P,center,yellow,20,2.2297136783599854
80,right,[29  9],[ 2 11],P,left,cyan,20,2.2281291484832764
81,right,[24  4],[ 7 10],P,center,cyan,20,2.2288806438446045
82,down,[ 9 29],[ 6 14],P,bottom,cyan,20,2.228667974472046
83,right,[29  9],[12  4],P,top,cyan,20,2.2282073497772217
84,left,[-8  6],[2 3],P,top left,cyan,20,2.2279365062713623
85,right,[29  9],[16  9],P,right,cyan,20,2.245774030685425
86,right,[29  9],[16  7],P,right,cyan,20,2.233339548110962
87,up,[  8 -10],[3 7],P,left,cyan,20,2.2325375080108643
88,right,[29  9],[11 14],P,bottom,cyan,20,2.23260498046875
89,right,[29  9],[14  6],P,right,cyan,20,2.2399861812591553
90,left,[-11   9],[4 7],P,left,cyan,20,2.236992359161377
91,up,[ 6 -8],[11  4],P,top,cyan,20,2.2359437942504883
92,right,[29  9],[11  4],P,top,cyan,20,2.2354414463043213
93,right,[29  9],[15 11],P,right,cyan,20,2.2355904579162598
94,right,[11  9],[10 12],P,center,cyan,20,2.234978199005127
95,right,[29  9],[16  9],P,right,cyan,20,2.2371153831481934
96,right,[29  9],[16  7],P,right,cyan,20,2.236656904220581
97,down,[ 9 13],[ 2 15],P,bottom left,cyan,20,2.2361419200897217
98,right,[29  9],[13  9],P,right,cyan,20,2.382779121398926
99,right,[29  9],[6 4],P,top,cyan,20,2.2359611988067627
100,right,[28  8],[4 2],P,top left,magenta,20,2.236935615539551
101,up,[11 13],[ 5 13],P,bottom left,magenta,20,2.235985279083252
102,right,[29  9],[16 15],P,bottom right,magenta,20,2.2367358207702637
103,right,[29  9],[16 13],P,bottom right,magenta,20,2.2368814945220947
104,right,[23  3],[4 4],P,top left,magenta,20,2.2359955310821533
105,right,[29  9],[14  6],P,right,magenta,20,2.240288257598877
106,right,[29  9],[ 9 11],P,center,magenta,20,2.243027448654175
107,right,[29  9],[13 15],P,bottom right,magenta,20,2.2467830181121826
108,left,[-11   9],[3 8],P,left,magenta,20,2.241410732269287
109,right,[29  9],[13 13],P,bottom right,magenta,20,2.2400522232055664
110,up,[  9 -11],[8 8],P,center,magenta,20,2.2387123107910156
111,right,[29  9],[13 14],P,bottom right,magenta,20,2.2428224086761475
112,up,[  9 -11],[10  2],P,top,magenta,20,2.266145706176758
113,right,[29  9],[ 7 15],P,bottom,magenta,20,2.2360775470733643
114,right,[29  9],[13  8],P,right,magenta,20,2.234858274459839
115,right,[29  9],[10 14],P,bottom,magenta,20,2.2369797229766846
116,right,[13  9],[ 2 14],P,bottom left,magenta,20,2.236717700958252
117,right,[29  9],[15  2],P,top right,magenta,20,2.237902879714966
118,left,[-11   9],[9 4],P,top,magenta,20,2.2351467609405518
119,right,[29  9],[15  6],P,right,magenta,20,2.2368862628936768
120,right,[29  9],[14  6],T,right,red,20,2.2361526489257812
121,down,[7 3],[3 2],T,top left,red,20,2.2384755611419678
122,right,[26 12],[ 7 13],T,bottom,red,20,2.246401786804199
123,right,[29  9],[13 11],T,right,red,20,2.247227907180786
124,left,[-7  5],[ 4 11],T,left,red,20,2.260493278503418
125,down,[ 9 29],[ 6 16],T,bottom,red,20,2.3333709239959717
126,down,[ 9 29],[ 9 15],T,bottom,red,20,2.226060152053833
127,right,[29  9],[16 12],T,right,red,20,2.230449676513672
128,up,[ 5 -7],[5 4],T,top left,red,20,2.2282955646514893
129,right,[29  9],[15  9],T,right,red,20,2.229842185974121
130,right,[29  9],[15  9],T,right,red,20,2.2294087409973145
131,left,[9 9],[8 9],T,center,red,20,2.238553762435913
132,up,[14 -6],[8 3],T,top,red,20,2.239485502243042
133,right,[10 10],[ 8 14],T,bottom,red,20,2.2384111881256104
134,down,[11 27],[11 13],T,bottom,red,20,2.2376954555511475
135,down,[ 9 29],[ 6 13],T,bottom,red,20,2.253884792327881
136,down,[15 23],[10 16],T,bottom,red,20,2.2475626468658447
137,right,[29  9],[ 7 11],T,center,red,20,2.234077215194702
138,right,[15  9],[ 4 11],T,left,red,20,2.2564477920532227
139,left,[-10   8],[5 7],T,left,red,20,2.2476913928985596
140,up,[13 -7],[6 5],T,top,blue,20,2.2282979488372803
141,right,[29  9],[ 8 13],T,bottom,blue,20,2.226356029510498
142,left,[9 9],[5 2],T,top left,blue,20,2.2302091121673584
143,right,[29  9],[14 14],T,bottom right,blue,20,2.233532428741455
144,right,[29  9],[16 12],T,right,blue,20,2.23473858833313
145,left,[-11   9],[ 3 11],T,left,blue,20,2.2352235317230225
146,up,[ 5 -7],[2 7],T,left,blue,20,2.233726978302002
147,up,[  9 -11],[8 3],T,top,blue,20,2.2377548217773438
148,left,[-11   9],[2 9],T,left,blue,20,2.2549266815185547
149,right,[29  9],[15  2],T,top right,blue,20,2.2382447719573975
150,right,[29  9],[6 3],T,top,blue,20,2.2354238033294678
151,right,[24  4],[11  4],T,top,blue,20,2.346320867538452
152,right,[29  9],[7 5],T,top,blue,20,2.320603370666504
153,right,[29  9],[3 6],T,left,blue,20,2.262028932571411
154,right,[27 11],[ 7 16],T,bottom,blue,20,2.2666099071502686
155,up,[17 -3],[ 7 10],T,center,blue,20,2.2489585876464844
156,right,[29  9],[11  7],T,center,blue,20,2.2411274909973145
157,right,[29  9],[9 3],T,top,blue,20,2.263385534286499
158,right,[15  9],[6 7],T,center,blue,20,2.229881525039673
159,left,[-11   9],[ 6 13],T,bottom,blue,20,2.227886199951172
160,left,[9 9],[4 7],T,left,green,20,2.2254793643951416
161,right,[13  9],[ 9 11],T,center,green,20,2.220470905303955
162,up,[12 -8],[6 8],T,center,green,20,2.2189924716949463
163,up,[ 10 -10],[12  7],T,center,green,20,2.2212202548980713
164,right,[29  9],[12 10],T,center,green,20,2.222583532333374
165,up,[  9 -11],[2 2],T,top left,green,20,2.262263059616089
166,up,[17 -3],[ 8 12],T,center,green,20,2.2389259338378906
167,right,[29  9],[11  6],T,center,green,20,2.2288930416107178
168,left,[-11   9],[13 13],T,bottom right,green,20,2.227203130722046
169,right,[29  9],[16  9],T,right,green,20,2.2249791622161865
170,up,[12 14],[ 6 14],T,bottom,green,20,2.222993850708008
171,right,[29  9],[16  8],T,right,green,20,2.220813274383545
172,up,[  9 -11],[6 8],T,center,green,20,2.2248151302337646
173,right,[29  9],[6 8],T,center,green,20,2.2261805534362793
174,up,[  9 -11],[6 7],T,center,green,20,2.2266526222229004
175,up,[ 9 11],[ 5 13],T,bottom left,green,20,2.2252724170684814
176,up,[  9 -11],[4 5],T,top left,green,20,2.228429079055786
177,right,[29  9],[13  8],T,right,green,20,2.224200963973999
178,right,[29  9],[16 14],T,bottom right,green,20,2.375790596008301
179,left,[9 9],[3 8],T,left,green,20,2.2298266887664795
180,down,[11 27],[ 7 14],T,bottom,yellow,20,2.2270729541778564
181,right,[29  9],[14 15],T,bottom right,yellow,20,2.2305471897125244
182,right,[29  9],[12 11],T,center,yellow,20,2.2308263778686523
183,down,[10 28],[13 13],T,bottom right,yellow,20,2.2334649562835693
184,up,[12 -8],[9 7],T,center,yellow,20,2.2314155101776123
185,right,[29  9],[8 5],T,top,yellow,20,2.2350659370422363
186,right,[17  9],[ 9 10],T,center,yellow,20,2.2334117889404297
187,left,[-11   9],[4 9],T,left,yellow,20,2.234964609146118
188,right,[29  9],[6 7],T,center,yellow,20,2.2313361167907715
189,left,[-11   9],[ 3 10],T,left,yellow,20,2.2383174896240234
190,right,[29  9],[9 7],T,center,yellow,20,2.2376468181610107
191,up,[7 7],[14  4],T,top right,yellow,20,2.2397501468658447
192,down,[ 9 29],[ 8 15],T,bottom,yellow,20,2.2402243614196777
193,left,[-9  7],[ 5 10],T,left,yellow,20,2.2375752925872803
194,right,[29  9],[13  7],T,right,yellow,20,2.2378296852111816
195,up,[  9 -11],[ 9 12],T,center,yellow,20,2.23768949508667
196,right,[29  9],[13  6],T,right,yellow,20,2.377490758895874
197,right,[5 9],[ 5 11],T,left,yellow,20,2.2896993160247803
198,right,[29  9],[11 10],T,center,yellow,20,2.2591378688812256
199,right,[29  9],[15 16],T,bottom right,yellow,20,2.245702028274536
200,up,[  9 -11],[5 2],T,top left,cyan,20,2.24359393119812
201,right,[29  9],[12 14],T,bottom,cyan,20,2.244418144226074
202,up,[  9 -11],[2 3],T,top left,cyan,20,2.269911766052246
203,up,[9 9],[ 2 13],T,bottom left,cyan,20,2.2361090183258057
204,right,[1 9],[ 3 10],T,left,cyan,20,2.2487010955810547
205,right,[24  4],[15  5],T,top right,cyan,20,2.3455207347869873
206,up,[9 9],[ 6 13],T,bottom,cyan,20,2.234855890274048
207,right,[29  9],[14 14],T,bottom right,cyan,20,2.2371091842651367
208,up,[ 7 -9],[7 9],T,center,cyan,20,2.23740553855896
209,right,[26  6],[7 5],T,top,cyan,20,2.2365007400512695
210,right,[7 9],[2 6],T,left,cyan,20,2.2321746349334717
211,right,[29  9],[14 16],T,bottom right,cyan,20,2.237198829650879
212,right,[29  9],[6 3],T,top,cyan,20,2.234307050704956
213,right,[25  5],[8 6],T,center,cyan,20,2.2334156036376953
214,right,[27  7],[2 2],T,top left,cyan,20,2.2352168560028076
215,right,[27  7],[13 12],T,right,cyan,20,2.2373509407043457
216,right,[29  9],[16 13],T,bottom right,cyan,20,2.2375926971435547
217,right,[29  9],[8 5],T,top,cyan,20,2.2346184253692627
218,right,[29  9],[ 7 14],T,bottom,cyan,20,2.2381296157836914
219,right,[29  9],[15 11],T,right,cyan,20,2.248863697052002
220,left,[9 9],[4 6],T,left,magenta,20,2.24276065826416
221,right,[29  9],[12 11],T,center,magenta,20,2.2368106842041016
222,up,[ 9 13],[ 3 15],T,bottom left,magenta,20,2.2414326667785645
223,right,[29  9],[12  3],T,top,magenta,20,2.2385783195495605
224,right,[29  9],[ 8 13],T,bottom,magenta,20,2.2407310009002686
225,right,[28  8],[6 2],T,top,magenta,20,2.23982310295105
226,down,[ 9 29],[ 4 15],T,bottom left,magenta,20,2.241572856903076
227,left,[7 9],[12  5],T,top,magenta,20,2.24287486076355
228,right,[29  9],[15  5],T,top right,magenta,20,2.2437145709991455
229,right,[29  9],[15 10],T,right,magenta,20,2.242959976196289
230,left,[-9  7],[12  8],T,center,magenta,20,2.2493295669555664
231,right,[28 10],[ 6 13],T,bottom,magenta,20,2.3109757900238037
232,right,[29  9],[13  5],T,top right,magenta,20,2.311553955078125
233,right,[28  8],[ 7 11],T,center,magenta,20,2.2320151329040527
234,right,[29  9],[2 6],T,left,magenta,20,2.233147144317627
235,right,[28 10],[12  2],T,top,magenta,20,2.236112594604492
236,up,[  9 -11],[3 7],T,left,magenta,20,2.2333874702453613
237,right,[23  3],[8 7],T,center,magenta,20,2.236454963684082
238,right,[27 11],[10 15],T,bottom,magenta,20,2.235814332962036
239,left,[7 9],[12 12],T,center,magenta,20,2.2365615367889404
240,right,[29  9],[16 13],U,bottom right,red,20,2.24155592918396
241,up,[ 9 13],[ 5 15],U,bottom left,red,20,2.2385640144348145
242,right,[29  9],[ 9 16],U,bottom,red,20,2.241077184677124
243,right,[29  9],[9 8],U,center,red,20,2.2423651218414307
244,right,[29  9],[13 11],U,right,red,20,2.2423057556152344
245,right,[29  9],[13 10],U,right,red,20,2.2453560829162598
246,up,[  9 -11],[2 3],U,top left,red,20,2.264291286468506
247,up,[9 9],[ 6 15],U,bottom,red,20,2.2409305572509766
248,left,[7 9],[10  3],U,top,red,20,2.240407705307007
249,up,[16 -4],[ 9 11],U,center,red,20,2.2417030334472656
250,right,[9 9],[ 4 11],U,left,red,20,2.230295181274414
251,right,[29  9],[14 10],U,right,red,20,2.2325525283813477
252,right,[29  9],[13  6],U,right,red,20,2.2350175380706787
253,right,[29  9],[10 10],U,center,red,20,2.2332773208618164
254,right,[28  8],[ 6 10],U,center,red,20,2.235323905944824
255,right,[29  9],[16 10],U,right,red,20,2.237455129623413
256,down,[9 9],[11 13],U,bottom,red,20,2.2348623275756836
257,right,[29  9],[15  5],U,top right,red,20,2.237086534500122
258,right,[29  9],[13 11],U,right,red,20,2.3732144832611084
259,down,[ 9 11],[16  3],U,top right,red,20,2.3169846534729004
260,right,[29  9],[14  8],U,right,blue,20,2.2617082595825195
261,left,[ 8 10],[ 5 14],U,bottom left,blue,20,2.2615766525268555
262,right,[29  9],[13 11],U,right,blue,20,2.2612063884735107
263,down,[17 21],[ 4 14],U,bottom left,blue,20,2.2600350379943848
264,right,[29  9],[4 4],U,top left,blue,20,2.24216890335083
265,right,[27  7],[7 9],U,center,blue,20,2.238208293914795
266,right,[29  9],[15 16],U,bottom right,blue,20,2.241755962371826
267,right,[29  9],[11  8],U,center,blue,20,2.238413095474243
268,left,[13  9],[11 10],U,center,blue,20,2.2343876361846924
269,left,[15  9],[5 3],U,top left,blue,20,2.2347588539123535
270,up,[ 9 13],[ 6 16],U,bottom,blue,20,2.2389442920684814
271,right,[29  9],[13 16],U,bottom right,blue,20,2.2387406826019287
272,down,[ 9 29],[ 3 16],U,bottom left,blue,20,2.2404778003692627
273,left,[7 9],[ 4 12],U,left,blue,20,2.2289347648620605
274,down,[9 9],[ 2 16],U,bottom left,blue,20,2.2280545234680176
275,right,[29  9],[14  7],U,right,blue,20,2.230105400085449
276,right,[29  9],[4 6],U,left,blue,20,2.2255377769470215
277,right,[27  7],[11  8],U,center,blue,20,2.225456953048706
278,right,[29  9],[14  3],U,top right,blue,20,2.2273480892181396
279,right,[28  8],[ 2 13],U,bottom left,blue,20,2.229266881942749
280,up,[  9 -11],[13  4],U,top right,green,20,2.3002312183380127
281,right,[29  9],[12  3],U,top,green,20,2.24497127532959
282,right,[25  5],[12  8],U,center,green,20,2.2481400966644287
283,right,[29  9],[10  2],U,top,green,20,2.2339043617248535
284,right,[17  9],[ 3 10],U,left,green,20,2.2399134635925293
285,right,[29  9],[7 7],U,center,green,20,2.364630937576294
286,right,[29  9],[6 4],U,top,green,20,2.2294371128082275
287,up,[  9 -11],[10 12],U,center,green,20,2.2294459342956543
288,right,[29  9],[16  5],U,top right,green,20,2.2365927696228027
289,right,[29  9],[16 16],U,bottom right,green,20,2.2296648025512695
290,right,[29  9],[15 12],U,right,green,20,2.226546049118042
291,right,[29  9],[14  2],U,top right,green,20,2.2266199588775635
292,right,[26  6],[9 4],U,top,green,20,2.224313974380493
293,right,[29  9],[12  5],U,top,green,20,2.228985548019409
294,right,[29  9],[ 9 15],U,bottom,green,20,2.2258434295654297
295,up,[  8 -10],[10  6],U,center,green,20,2.2274768352508545
296,right,[29  9],[14  3],U,top right,green,20,2.2260372638702393
297,right,[29  9],[ 8 16],U,bottom,green,20,2.225515604019165
298,right,[29  9],[ 8 16],U,bottom,green,20,2.224076986312866
299,right,[29  9],[10 11],U,center,green,20,2.2497477531433105
300,right,[9 9],[ 5 12],U,left,yellow,20,2.2291386127471924
301,right,[29  9],[16 13],U,bottom right,yellow,20,2.2303595542907715
302,right,[29  9],[11  9],U,center,yellow,20,2.2288577556610107
303,left,[13  9],[4 8],U,left,yellow,20,2.229374885559082
304,right,[29  9],[8 3],U,top,yellow,20,2.2333343029022217
305,left,[-11   9],[ 8 13],U,bottom,yellow,20,2.232144832611084
306,right,[29  9],[7 5],U,top,yellow,20,2.235614538192749
307,right,[29  9],[3 2],U,top left,yellow,20,2.234910249710083
308,right,[29  9],[10  8],U,center,yellow,20,2.2319371700286865
309,right,[15  9],[ 2 12],U,left,yellow,20,2.233158826828003
310,right,[29  9],[10 13],U,bottom,yellow,20,2.2358899116516113
311,right,[29  9],[ 2 10],U,left,yellow,20,2.261282444000244
312,left,[13  9],[ 2 14],U,bottom left,yellow,20,2.349050283432007
313,right,[29  9],[15  8],U,right,yellow,20,2.2464606761932373
314,right,[29  9],[9 7],U,center,yellow,20,2.2384629249572754
315,right,[29  9],[11  9],U,center,yellow,20,2.23835825920105
316,right,[29  9],[15  5],U,top right,yellow,20,2.2380340099334717
317,right,[29  9],[11  8],U,center,yellow,20,2.2345736026763916
318,up,[  9 -11],[3 4],U,top left,yellow,20,2.229518175125122
319,right,[29  9],[16  6],U,right,yellow,20,2.2260868549346924
320,right,[29  9],[15 16],U,bottom right,cyan,20,2.227159023284912
321,left,[-11   9],[ 3 12],U,left,cyan,20,2.2260513305664062
322,right,[29  9],[8 2],U,top,cyan,20,2.226231575012207
323,right,[29  9],[10 11],U,center,cyan,20,2.2301409244537354
324,right,[29  9],[14  8],U,right,cyan,20,2.2255430221557617
325,right,[29  9],[13  7],U,right,cyan,20,2.224952220916748
326,up,[9 9],[ 2 13],U,bottom left,cyan,20,2.230801582336426
327,right,[29  9],[15 11],U,right,cyan,20,2.2291667461395264
328,right,[29  9],[13 14],U,bottom right,cyan,20,2.2308125495910645
329,right,[29  9],[ 6 16],U,bottom,cyan,20,2.229846954345703
330,down,[11  9],[ 2 14],U,bottom left,cyan,20,2.230334758758545
331,down,[ 9 13],[ 2 15],U,bottom left,cyan,20,2.2335171699523926
332,up,[  9 -11],[10  7],U,center,cyan,20,2.230879306793213
333,right,[29  9],[11  8],U,center,cyan,20,2.2319726943969727
334,up,[11 -9],[ 8 10],U,center,cyan,20,2.2333192825317383
335,right,[29  9],[2 5],U,top left,cyan,20,2.2348530292510986
336,up,[  9 -11],[12  2],U,top,cyan,20,2.2331199645996094
337,right,[29  9],[15  8],U,right,cyan,20,2.2340283393859863
338,right,[25  5],[ 9 10],U,center,cyan,20,2.3269805908203125
339,up,[  9 -11],[8 6],U,center,cyan,20,2.2924163341522217
340,left,[-11   9],[ 2 11],U,left,magenta,20,2.2310678958892822
341,right,[11  9],[ 7 10],U,center,magenta,20,2.2304892539978027
342,right,[29  9],[ 6 14],U,bottom,magenta,20,2.2285945415496826
343,right,[29  9],[12  4],U,top,magenta,20,2.2290594577789307
344,up,[  9 -11],[2 3],U,top left,magenta,20,2.230583667755127
345,right,[29  9],[16  9],U,right,magenta,20,2.2289764881134033
346,right,[29  9],[16  7],U,right,magenta,20,2.2307066917419434
347,left,[12  8],[3 7],U,left,magenta,20,2.230095863342285
348,right,[29  9],[11 14],U,bottom,magenta,20,2.2335262298583984
349,right,[29  9],[14  6],U,right,magenta,20,2.233053684234619
350,right,[29  9],[4 7],U,left,magenta,20,2.236250162124634
351,right,[29  9],[11  4],U,top,magenta,20,2.2343077659606934
352,right,[29  9],[11  4],U,top,magenta,20,2.2368109226226807
353,right,[29  9],[15 11],U,right,magenta,20,2.246978998184204
354,left,[13  9],[10 12],U,center,magenta,20,2.2354745864868164
355,right,[29  9],[16  9],U,right,magenta,20,2.2348878383636475
356,right,[29  9],[16  7],U,right,magenta,20,2.2368569374084473
357,down,[ 9 11],[ 2 15],U,bottom left,magenta,20,2.236290693283081
358,left,[-11   9],[13  9],U,right,magenta,20,2.236354351043701
359,right,[29  9],[6 4],U,top,magenta,20,2.2352874279022217
360,left,[-11   9],[4 2],W,top left,red,20,2.234140634536743
361,right,[29  9],[ 5 13],W,bottom left,red,20,2.2353482246398926
362,right,[29  9],[16 15],W,bottom right,red,20,2.2365291118621826
363,right,[29  9],[16 13],W,bottom right,red,20,2.2387869358062744
364,up,[  9 -11],[4 4],W,top left,red,20,2.251204490661621
365,right,[29  9],[14  6],W,right,red,20,2.358485460281372
366,right,[29  9],[ 9 11],W,center,red,20,2.2348339557647705
367,right,[29  9],[13 15],W,bottom right,red,20,2.235957145690918
368,left,[-11   9],[3 8],W,left,red,20,2.2344419956207275
369,right,[29  9],[13 13],W,bottom right,red,20,2.2388298511505127
370,right,[29  9],[8 8],W,center,red,20,2.233973264694214
371,right,[29  9],[13 14],W,bottom right,red,20,2.2342641353607178
372,right,[29  9],[10  2],W,top,red,20,2.2371418476104736
373,right,[29  9],[ 7 15],W,bottom,red,20,2.2345235347747803
374,right,[29  9],[13  8],W,right,red,20,2.2341737747192383
375,right,[29  9],[10 14],W,bottom,red,20,2.236175775527954
376,right,[13  9],[ 2 14],W,bottom left,red,20,2.238142967224121
377,right,[29  9],[15  2],W,top right,red,20,2.2384207248687744
378,right,[29  9],[9 4],W,top,red,20,2.2341015338897705
379,right,[29  9],[15  6],W,right,red,20,2.24526309967041
380,right,[29  9],[14  6],W,right,blue,20,2.2439727783203125
381,right,[28  8],[3 2],W,top left,blue,20,2.235044240951538
382,right,[29  9],[ 7 13],W,bottom,blue,20,2.2326929569244385
383,right,[11  9],[13 11],W,right,blue,20,2.2324581146240234
384,right,[29  9],[ 4 11],W,left,blue,20,2.2336015701293945
385,right,[29  9],[ 6 16],W,bottom,blue,20,2.232323169708252
386,right,[29  9],[ 9 15],W,bottom,blue,20,2.232731819152832
387,right,[29  9],[16 12],W,right,blue,20,2.233431816101074
388,right,[26  6],[5 4],W,top left,blue,20,2.2327914237976074
389,right,[29  9],[15  9],W,right,blue,20,2.2840380668640137
390,right,[29  9],[15  9],W,right,blue,20,2.2703211307525635
391,left,[5 9],[8 9],W,center,blue,20,2.243267774581909
392,right,[29  9],[8 3],W,top,blue,20,2.3732099533081055
393,right,[29  9],[ 8 14],W,bottom,blue,20,2.2347705364227295
394,right,[29  9],[11 13],W,bottom,blue,20,2.2332112789154053
395,right,[29  9],[ 6 13],W,bottom,blue,20,2.228661298751831
396,right,[29  9],[10 16],W,bottom,blue,20,2.2292256355285645
397,right,[29  9],[ 7 11],W,center,blue,20,2.2285661697387695
398,left,[13  9],[ 4 11],W,left,blue,20,2.2267863750457764
399,right,[15  9],[5 7],W,left,blue,20,2.22513484954834
400,right,[29  9],[6 5],W,top,green,20,2.2266571521759033
401,right,[29  9],[ 8 13],W,bottom,green,20,2.22996187210083
402,right,[28  8],[5 2],W,top left,green,20,2.2335612773895264
403,right,[29  9],[14 14],W,bottom right,green,20,2.2301394939422607
404,right,[29  9],[16 12],W,right,green,20,2.2297210693359375
405,right,[17  9],[ 3 11],W,left,green,20,2.2303049564361572
406,left,[12  2],[2 7],W,left,green,20,2.2470290660858154
407,right,[29  9],[8 3],W,top,green,20,2.2317700386047363
408,right,[29  9],[2 9],W,left,green,20,2.2308223247528076
409,up,[17 -3],[15  2],W,top right,green,20,2.2324326038360596
410,up,[  9 -11],[6 3],W,top,green,20,2.2332305908203125
411,right,[28  8],[11  4],W,top,green,20,2.2328333854675293
412,right,[28  8],[7 5],W,top,green,20,2.2306277751922607
413,right,[29  9],[3 6],W,left,green,20,2.2318544387817383
414,right,[29  9],[ 7 16],W,bottom,green,20,2.232316017150879
415,right,[29  9],[ 7 10],W,center,green,20,2.2485668659210205
416,right,[23  3],[11  7],W,center,green,20,2.23447322845459
