predictions,gts,ids
left,left,"""training_data/easy/boards/boards948/step_4.png"""
left,down,"""training_data/easy/boards/boards948/step_5.png"""
left,left,"""training_data/easy/boards/boards948/step_6.png"""
left,down,"""training_data/easy/boards/boards948/step_7.png"""
left,left,"""training_data/easy/boards/boards948/step_8.png"""
left,left,"""training_data/easy/boards/boards948/step_9.png"""
grip,grip,"""training_data/easy/boards/boards948/step_10.png"""
down,right,"""training_data/easy/boards/boards1150/step_0.png"""
down,down,"""training_data/easy/boards/boards1150/step_1.png"""
right,right,"""training_data/easy/boards/boards1150/step_2.png"""
down,down,"""training_data/easy/boards/boards1150/step_3.png"""
right down down right,down,"""training_data/easy/boards/boards1150/step_4.png"""
right down right,down,"""training_data/easy/boards/boards1150/step_5.png"""
right,right,"""training_data/easy/boards/boards1150/step_6.png"""
right,right,"""training_data/easy/boards/boards1150/step_7.png"""
grip,grip,"""training_data/easy/boards/boards1150/step_8.png"""
down left,down,"""training_data/easy/boards/boards3570/step_0.png"""
left down,down,"""training_data/easy/boards/boards3570/step_1.png"""
left down,left,"""training_data/easy/boards/boards3570/step_2.png"""
left down,down,"""training_data/easy/boards/boards3570/step_3.png"""
left down left,left,"""training_data/easy/boards/boards3570/step_4.png"""
left down left,down,"""training_data/easy/boards/boards3570/step_5.png"""
left,left,"""training_data/easy/boards/boards3570/step_6.png"""
left,left,"""training_data/easy/boards/boards3570/step_7.png"""
left,down,"""training_data/easy/boards/boards3570/step_8.png"""
left,left,"""training_data/easy/boards/boards3570/step_9.png"""
grip,grip,"""training_data/easy/boards/boards3570/step_10.png"""
left,down,"""training_data/easy/boards/boards437/step_0.png"""
left,left,"""training_data/easy/boards/boards437/step_1.png"""
left,left,"""training_data/easy/boards/boards437/step_2.png"""
left,left,"""training_data/easy/boards/boards437/step_3.png"""
left,down,"""training_data/easy/boards/boards437/step_4.png"""
left,left,"""training_data/easy/boards/boards437/step_5.png"""
left,left,"""training_data/easy/boards/boards437/step_6.png"""
grip,grip,"""training_data/easy/boards/boards437/step_7.png"""
right,right,"""training_data/easy/boards/boards301/step_0.png"""
right,up,"""training_data/easy/boards/boards301/step_1.png"""
right,right,"""training_data/easy/boards/boards301/step_2.png"""
right,right,"""training_data/easy/boards/boards301/step_3.png"""
right,right,"""training_data/easy/boards/boards301/step_4.png"""
grip,grip,"""training_data/easy/boards/boards301/step_5.png"""
right,right,"""training_data/easy/boards/boards805/step_0.png"""
right,right,"""training_data/easy/boards/boards805/step_1.png"""
right,right,"""training_data/easy/boards/boards805/step_2.png"""
right,right,"""training_data/easy/boards/boards805/step_3.png"""
grip,grip,"""training_data/easy/boards/boards805/step_4.png"""
up,up,"""training_data/easy/boards/boards83/step_0.png"""
right,up,"""training_data/easy/boards/boards83/step_1.png"""
right,right,"""training_data/easy/boards/boards83/step_2.png"""
right,right,"""training_data/easy/boards/boards83/step_3.png"""
grip,grip,"""training_data/easy/boards/boards83/step_4.png"""
right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right,right,"""training_data/easy/boards/boards1111/step_0.png"""
right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right,right,"""training_data/easy/boards/boards1111/step_1.png"""
right,down,"""training_data/easy/boards/boards1111/step_2.png"""
right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right,right,"""training_data/easy/boards/boards1111/step_3.png"""
right,right,"""training_data/easy/boards/boards1111/step_4.png"""
right,down,"""training_data/easy/boards/boards1111/step_5.png"""
right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right,down,"""training_data/easy/boards/boards1111/step_6.png"""
right,right,"""training_data/easy/boards/boards1111/step_7.png"""
right,right,"""training_data/easy/boards/boards1111/step_8.png"""
right,right,"""training_data/easy/boards/boards1111/step_9.png"""
grip,grip,"""training_data/easy/boards/boards1111/step_10.png"""
right,right,"""training_data/easy/boards/boards1991/step_0.png"""
right,right,"""training_data/easy/boards/boards1991/step_1.png"""
right,down,"""training_data/easy/boards/boards1991/step_2.png"""
right down right,down,"""training_data/easy/boards/boards1991/step_3.png"""
right,right,"""training_data/easy/boards/boards1991/step_4.png"""
right,right,"""training_data/easy/boards/boards1991/step_5.png"""
grip,grip,"""training_data/easy/boards/boards1991/step_6.png"""
right,right,"""training_data/easy/boards/boards2074/step_0.png"""
right,right,"""training_data/easy/boards/boards2074/step_1.png"""
right,right,"""training_data/easy/boards/boards2074/step_2.png"""
right down right,right,"""training_data/easy/boards/boards2074/step_3.png"""
right down right,down,"""training_data/easy/boards/boards2074/step_4.png"""
right right down right down right right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down right down,down,"""training_data/easy/boards/boards2074/step_5.png"""
right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right,right,"""training_data/easy/boards/boards2074/step_6.png"""
right,right,"""training_data/easy/boards/boards2074/step_7.png"""
grip,grip,"""training_data/easy/boards/boards2074/step_8.png"""
down,left,"""training_data/easy/boards/boards2349/step_0.png"""
down,down,"""training_data/easy/boards/boards2349/step_1.png"""
down,down,"""training_data/easy/boards/boards2349/step_2.png"""
down,down,"""training_data/easy/boards/boards2349/step_3.png"""
down,down,"""training_data/easy/boards/boards2349/step_4.png"""
left,left,"""training_data/easy/boards/boards2349/step_5.png"""
left,down,"""training_data/easy/boards/boards2349/step_6.png"""
left,left,"""training_data/easy/boards/boards2349/step_7.png"""
grip,grip,"""training_data/easy/boards/boards2349/step_8.png"""
down,down,"""training_data/easy/boards/boards2400/step_0.png"""
down,down,"""training_data/easy/boards/boards2400/step_1.png"""
down,down,"""training_data/easy/boards/boards2400/step_2.png"""
down,left,"""training_data/easy/boards/boards2400/step_3.png"""
down,down,"""training_data/easy/boards/boards2400/step_4.png"""
down,down,"""training_data/easy/boards/boards2400/step_5.png"""
grip,grip,"""training_data/easy/boards/boards2400/step_6.png"""
right,up,"""training_data/easy/boards/boards1304/step_0.png"""
right,right,"""training_data/easy/boards/boards1304/step_1.png"""
right,right,"""training_data/easy/boards/boards1304/step_2.png"""
right,right,"""training_data/easy/boards/boards1304/step_3.png"""
right,right,"""training_data/easy/boards/boards1304/step_4.png"""
right,right,"""training_data/easy/boards/boards1304/step_5.png"""
right,right,"""training_data/easy/boards/boards1304/step_6.png"""
grip,grip,"""training_data/easy/boards/boards1304/step_7.png"""
left,up,"""training_data/easy/boards/boards1993/step_0.png"""
up left,up,"""training_data/easy/boards/boards1993/step_1.png"""
left,left,"""training_data/easy/boards/boards1993/step_2.png"""
left,up,"""training_data/easy/boards/boards1993/step_3.png"""
left,up,"""training_data/easy/boards/boards1993/step_4.png"""
left,left,"""training_data/easy/boards/boards1993/step_5.png"""
left,up,"""training_data/easy/boards/boards1993/step_6.png"""
left,left,"""training_data/easy/boards/boards1993/step_7.png"""
left,left,"""training_data/easy/boards/boards1993/step_8.png"""
left,up,"""training_data/easy/boards/boards1993/step_9.png"""
left,left,"""training_data/easy/boards/boards1993/step_10.png"""
left,left,"""training_data/easy/boards/boards1993/step_11.png"""
left,left,"""training_data/easy/boards/boards1993/step_12.png"""
grip,grip,"""training_data/easy/boards/boards1993/step_13.png"""
right,right,"""training_data/easy/boards/boards1806/step_0.png"""
right,right,"""training_data/easy/boards/boards1806/step_1.png"""
right,up,"""training_data/easy/boards/boards1806/step_2.png"""
right,right,"""training_data/easy/boards/boards1806/step_3.png"""
right,up,"""training_data/easy/boards/boards1806/step_4.png"""
right,right,"""training_data/easy/boards/boards1806/step_5.png"""
right,right,"""training_data/easy/boards/boards1806/step_6.png"""
right,right,"""training_data/easy/boards/boards1806/step_7.png"""
up,up,"""training_data/easy/boards/boards1806/step_8.png"""
right,right,"""training_data/easy/boards/boards1806/step_9.png"""
grip,grip,"""training_data/easy/boards/boards1806/step_10.png"""
down right,down,"""training_data/easy/boards/boards1668/step_0.png"""
right,down,"""training_data/easy/boards/boards1668/step_1.png"""
down right,right,"""training_data/easy/boards/boards1668/step_2.png"""
right down,down,"""training_data/easy/boards/boards1668/step_3.png"""
right down,right,"""training_data/easy/boards/boards1668/step_4.png"""
right down,down,"""training_data/easy/boards/boards1668/step_5.png"""
right,right,"""training_data/easy/boards/boards1668/step_6.png"""
down right,right,"""training_data/easy/boards/boards1668/step_7.png"""
down,down,"""training_data/easy/boards/boards1668/step_8.png"""
down right,down,"""training_data/easy/boards/boards1668/step_9.png"""
right,right,"""training_data/easy/boards/boards1668/step_10.png"""
grip,grip,"""training_data/easy/boards/boards1668/step_11.png"""
down right,right,"""training_data/easy/boards/boards398/step_0.png"""
down right,right,"""training_data/easy/boards/boards398/step_1.png"""
down right,down,"""training_data/easy/boards/boards398/step_2.png"""
down right,down,"""training_data/easy/boards/boards398/step_3.png"""
down right,down,"""training_data/easy/boards/boards398/step_4.png"""
right down,down,"""training_data/easy/boards/boards398/step_5.png"""
right down,down,"""training_data/easy/boards/boards398/step_6.png"""
right,down,"""training_data/easy/boards/boards398/step_7.png"""
right,down,"""training_data/easy/boards/boards398/step_8.png"""
right,right,"""training_data/easy/boards/boards398/step_9.png"""
right,right,"""training_data/easy/boards/boards398/step_10.png"""
right,right,"""training_data/easy/boards/boards398/step_11.png"""
grip,grip,"""training_data/easy/boards/boards398/step_12.png"""
up,right,"""training_data/easy/boards/boards3534/step_0.png"""
up,right,"""training_data/easy/boards/boards3534/step_1.png"""
up,up,"""training_data/easy/boards/boards3534/step_2.png"""
up,right,"""training_data/easy/boards/boards3534/step_3.png"""
up,up,"""training_data/easy/boards/boards3534/step_4.png"""
up,up,"""training_data/easy/boards/boards3534/step_5.png"""
up,up,"""training_data/easy/boards/boards3534/step_6.png"""
grip,grip,"""training_data/easy/boards/boards3534/step_7.png"""
right,right,"""training_data/easy/boards/boards1867/step_0.png"""
right,right,"""training_data/easy/boards/boards1867/step_1.png"""
right,right,"""training_data/easy/boards/boards1867/step_2.png"""
up right,right,"""training_data/easy/boards/boards1867/step_3.png"""
up,right,"""training_data/easy/boards/boards1867/step_4.png"""
up,up,"""training_data/easy/boards/boards1867/step_5.png"""
up,up,"""training_data/easy/boards/boards1867/step_6.png"""
up,up,"""training_data/easy/boards/boards1867/step_7.png"""
grip,grip,"""training_data/easy/boards/boards1867/step_8.png"""
down right,down,"""training_data/easy/boards/boards247/step_0.png"""
down right,down,"""training_data/easy/boards/boards247/step_1.png"""
right down,right,"""training_data/easy/boards/boards247/step_2.png"""
right down,right,"""training_data/easy/boards/boards247/step_3.png"""
right,down,"""training_data/easy/boards/boards247/step_4.png"""
down right,down,"""training_data/easy/boards/boards247/step_5.png"""
right down,down,"""training_data/easy/boards/boards247/step_6.png"""
right,right,"""training_data/easy/boards/boards247/step_7.png"""
right down right,down,"""training_data/easy/boards/boards247/step_8.png"""
right down right,down,"""training_data/easy/boards/boards247/step_9.png"""
right,right,"""training_data/easy/boards/boards247/step_10.png"""
right,right,"""training_data/easy/boards/boards247/step_11.png"""
right,right,"""training_data/easy/boards/boards247/step_12.png"""
grip,grip,"""training_data/easy/boards/boards247/step_13.png"""
up,up,"""training_data/easy/boards/boards1522/step_0.png"""
up,right,"""training_data/easy/boards/boards1522/step_1.png"""
up,up,"""training_data/easy/boards/boards1522/step_2.png"""
up,up,"""training_data/easy/boards/boards1522/step_3.png"""
grip,grip,"""training_data/easy/boards/boards1522/step_4.png"""
left,up,"""training_data/easy/boards/boards661/step_0.png"""
left,up,"""training_data/easy/boards/boards661/step_1.png"""
left,up,"""training_data/easy/boards/boards661/step_2.png"""
left,up,"""training_data/easy/boards/boards661/step_3.png"""
left,left,"""training_data/easy/boards/boards661/step_4.png"""
left,up,"""training_data/easy/boards/boards661/step_5.png"""
left,left,"""training_data/easy/boards/boards661/step_6.png"""
left,left,"""training_data/easy/boards/boards661/step_7.png"""
left,left,"""training_data/easy/boards/boards661/step_8.png"""
up,left,"""training_data/easy/boards/boards661/step_9.png"""
up,left,"""training_data/easy/boards/boards661/step_10.png"""
up,up,"""training_data/easy/boards/boards661/step_11.png"""
up,left,"""training_data/easy/boards/boards661/step_12.png"""
up,up,"""training_data/easy/boards/boards661/step_13.png"""
grip,grip,"""training_data/easy/boards/boards661/step_14.png"""
up,right,"""training_data/easy/boards/boards3380/step_0.png"""
up,right,"""training_data/easy/boards/boards3380/step_1.png"""
up,up,"""training_data/easy/boards/boards3380/step_2.png"""
grip,grip,"""training_data/easy/boards/boards3380/step_3.png"""
left,left,"""training_data/easy/boards/boards3297/step_0.png"""
left down,left,"""training_data/easy/boards/boards3297/step_1.png"""
left,left,"""training_data/easy/boards/boards3297/step_2.png"""
left,down,"""training_data/easy/boards/boards3297/step_3.png"""
left,left,"""training_data/easy/boards/boards3297/step_4.png"""
left,down,"""training_data/easy/boards/boards3297/step_5.png"""
left,left,"""training_data/easy/boards/boards3297/step_6.png"""
grip,grip,"""training_data/easy/boards/boards3297/step_7.png"""
right,right,"""training_data/easy/boards/boards722/step_0.png"""
right,up,"""training_data/easy/boards/boards722/step_1.png"""
right,right,"""training_data/easy/boards/boards722/step_2.png"""
right,right,"""training_data/easy/boards/boards722/step_3.png"""
right,up,"""training_data/easy/boards/boards722/step_4.png"""
right,right,"""training_data/easy/boards/boards722/step_5.png"""
right,right,"""training_data/easy/boards/boards722/step_6.png"""
grip,grip,"""training_data/easy/boards/boards722/step_7.png"""
down,down,"""training_data/easy/boards/boards2046/step_0.png"""
down,down,"""training_data/easy/boards/boards2046/step_1.png"""
right,right,"""training_data/easy/boards/boards2046/step_2.png"""
grip,grip,"""training_data/easy/boards/boards2046/step_3.png"""
up,up,"""training_data/easy/boards/boards2812/step_0.png"""
up,left,"""training_data/easy/boards/boards2812/step_1.png"""
up,up,"""training_data/easy/boards/boards2812/step_2.png"""
left,left,"""training_data/easy/boards/boards2812/step_3.png"""
grip,grip,"""training_data/easy/boards/boards2812/step_4.png"""
down,down,"""training_data/easy/boards/boards1368/step_0.png"""
down,down,"""training_data/easy/boards/boards1368/step_1.png"""
down,left,"""training_data/easy/boards/boards1368/step_2.png"""
down,down,"""training_data/easy/boards/boards1368/step_3.png"""
down,down,"""training_data/easy/boards/boards1368/step_4.png"""
grip,grip,"""training_data/easy/boards/boards1368/step_5.png"""
left,left,"""training_data/easy/boards/boards2351/step_0.png"""
left,left,"""training_data/easy/boards/boards2351/step_1.png"""
left,up,"""training_data/easy/boards/boards2351/step_2.png"""
left,up,"""training_data/easy/boards/boards2351/step_3.png"""
left,left,"""training_data/easy/boards/boards2351/step_4.png"""
up left,up,"""training_data/easy/boards/boards2351/step_5.png"""
left,left,"""training_data/easy/boards/boards2351/step_6.png"""
up left,left,"""training_data/easy/boards/boards2351/step_7.png"""
up,up,"""training_data/easy/boards/boards2351/step_8.png"""
left,left,"""training_data/easy/boards/boards2351/step_9.png"""
up,left,"""training_data/easy/boards/boards2351/step_10.png"""
up,up,"""training_data/easy/boards/boards2351/step_11.png"""
up,up,"""training_data/easy/boards/boards2351/step_12.png"""
grip,grip,"""training_data/easy/boards/boards2351/step_13.png"""
left,left,"""training_data/easy/boards/boards2546/step_0.png"""
left down,down,"""training_data/easy/boards/boards2546/step_1.png"""
left,left,"""training_data/easy/boards/boards2546/step_2.png"""
left,left,"""training_data/easy/boards/boards2546/step_3.png"""
left down,left,"""training_data/easy/boards/boards2546/step_4.png"""
left,down,"""training_data/easy/boards/boards2546/step_5.png"""
left down,left,"""training_data/easy/boards/boards2546/step_6.png"""
left down left,left,"""training_data/easy/boards/boards2546/step_7.png"""
down left,down,"""training_data/easy/boards/boards2546/step_8.png"""
left,left,"""training_data/easy/boards/boards2546/step_9.png"""
down,down,"""training_data/easy/boards/boards2546/step_10.png"""
grip,grip,"""training_data/easy/boards/boards2546/step_11.png"""
down,down,"""training_data/easy/boards/boards1725/step_0.png"""
down,down,"""training_data/easy/boards/boards1725/step_1.png"""
down,down,"""training_data/easy/boards/boards1725/step_2.png"""
down,down,"""training_data/easy/boards/boards1725/step_3.png"""
down,down,"""training_data/easy/boards/boards1725/step_4.png"""
down,down,"""training_data/easy/boards/boards1725/step_5.png"""
right,right,"""training_data/easy/boards/boards1725/step_6.png"""
grip,grip,"""training_data/easy/boards/boards1725/step_7.png"""
up,right,"""training_data/easy/boards/boards3282/step_0.png"""
up,right,"""training_data/easy/boards/boards3282/step_1.png"""
up,up,"""training_data/easy/boards/boards3282/step_2.png"""
up,up,"""training_data/easy/boards/boards3282/step_3.png"""
up,right,"""training_data/easy/boards/boards3282/step_4.png"""
up,up,"""training_data/easy/boards/boards3282/step_5.png"""
up,up,"""training_data/easy/boards/boards3282/step_6.png"""
up,up,"""training_data/easy/boards/boards3282/step_7.png"""
up,up,"""training_data/easy/boards/boards3282/step_8.png"""
up,up,"""training_data/easy/boards/boards3282/step_9.png"""
grip,grip,"""training_data/easy/boards/boards3282/step_10.png"""
right,down,"""training_data/easy/boards/boards3045/step_0.png"""
right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right,right,"""training_data/easy/boards/boards3045/step_1.png"""
right,down,"""training_data/easy/boards/boards3045/step_2.png"""
right,right,"""training_data/easy/boards/boards3045/step_3.png"""
right,right,"""training_data/easy/boards/boards3045/step_4.png"""
right,right,"""training_data/easy/boards/boards3045/step_5.png"""
grip,grip,"""training_data/easy/boards/boards3045/step_6.png"""
right,right,"""training_data/easy/boards/boards3245/step_0.png"""
right,right,"""training_data/easy/boards/boards3245/step_1.png"""
down,down,"""training_data/easy/boards/boards3245/step_2.png"""
grip,grip,"""training_data/easy/boards/boards3245/step_3.png"""
down,down,"""training_data/easy/boards/boards3420/step_0.png"""
down,left,"""training_data/easy/boards/boards3420/step_1.png"""
down,down,"""training_data/easy/boards/boards3420/step_2.png"""
down,down,"""training_data/easy/boards/boards3420/step_3.png"""
down,down,"""training_data/easy/boards/boards3420/step_4.png"""
down,left,"""training_data/easy/boards/boards3420/step_5.png"""
down,down,"""training_data/easy/boards/boards3420/step_6.png"""
down,down,"""training_data/easy/boards/boards3420/step_7.png"""
grip,grip,"""training_data/easy/boards/boards3420/step_8.png"""
down right,down,"""training_data/easy/boards/boards2538/step_0.png"""
down,right,"""training_data/easy/boards/boards2538/step_1.png"""
down,down,"""training_data/easy/boards/boards2538/step_2.png"""
down,down,"""training_data/easy/boards/boards2538/step_3.png"""
down,down,"""training_data/easy/boards/boards2538/step_4.png"""
down right,right,"""training_data/easy/boards/boards2538/step_5.png"""
down right,down,"""training_data/easy/boards/boards2538/step_6.png"""
down right,right,"""training_data/easy/boards/boards2538/step_7.png"""
down,down,"""training_data/easy/boards/boards2538/step_8.png"""
down right,down,"""training_data/easy/boards/boards2538/step_9.png"""
right,right,"""training_data/easy/boards/boards2538/step_10.png"""
grip,grip,"""training_data/easy/boards/boards2538/step_11.png"""
left,left,"""training_data/easy/boards/boards2541/step_0.png"""
left,left,"""training_data/easy/boards/boards2541/step_1.png"""
down left,left,"""training_data/easy/boards/boards2541/step_2.png"""
down left,down,"""training_data/easy/boards/boards2541/step_3.png"""
down left,down,"""training_data/easy/boards/boards2541/step_4.png"""
down left,down,"""training_data/easy/boards/boards2541/step_5.png"""
down left,down,"""training_data/easy/boards/boards2541/step_6.png"""
left,left,"""training_data/easy/boards/boards2541/step_7.png"""
left down,left,"""training_data/easy/boards/boards2541/step_8.png"""
down left,down,"""training_data/easy/boards/boards2541/step_9.png"""
down left,left,"""training_data/easy/boards/boards2541/step_10.png"""
down left,left,"""training_data/easy/boards/boards2541/step_11.png"""
down,down,"""training_data/easy/boards/boards2541/step_12.png"""
down,down,"""training_data/easy/boards/boards2541/step_13.png"""
grip,grip,"""training_data/easy/boards/boards2541/step_14.png"""
left,left,"""training_data/easy/boards/boards2665/step_0.png"""
left,left,"""training_data/easy/boards/boards2665/step_1.png"""
left,down,"""training_data/easy/boards/boards2665/step_2.png"""
left,down,"""training_data/easy/boards/boards2665/step_3.png"""
left,left,"""training_data/easy/boards/boards2665/step_4.png"""
left,left,"""training_data/easy/boards/boards2665/step_5.png"""
left,left,"""training_data/easy/boards/boards2665/step_6.png"""
grip,grip,"""training_data/easy/boards/boards2665/step_7.png"""
up,left,"""training_data/easy/boards/boards2659/step_0.png"""
up,up,"""training_data/easy/boards/boards2659/step_1.png"""
up,up,"""training_data/easy/boards/boards2659/step_2.png"""
up,up,"""training_data/easy/boards/boards2659/step_3.png"""
up,up,"""training_data/easy/boards/boards2659/step_4.png"""
up,up,"""training_data/easy/boards/boards2659/step_5.png"""
up,up,"""training_data/easy/boards/boards2659/step_6.png"""
grip,grip,"""training_data/easy/boards/boards2659/step_7.png"""
right,up,"""training_data/easy/boards/boards444/step_0.png"""
right,up,"""training_data/easy/boards/boards444/step_1.png"""
right,up,"""training_data/easy/boards/boards444/step_2.png"""
right,right,"""training_data/easy/boards/boards444/step_3.png"""
right,right,"""training_data/easy/boards/boards444/step_4.png"""
right,right,"""training_data/easy/boards/boards444/step_5.png"""
right,up,"""training_data/easy/boards/boards444/step_6.png"""
right,right,"""training_data/easy/boards/boards444/step_7.png"""
right,right,"""training_data/easy/boards/boards444/step_8.png"""
right,right,"""training_data/easy/boards/boards444/step_9.png"""
grip,grip,"""training_data/easy/boards/boards444/step_10.png"""
down right,right,"""training_data/easy/boards/boards2075/step_0.png"""
down right,down,"""training_data/easy/boards/boards2075/step_1.png"""
down right,down,"""training_data/easy/boards/boards2075/step_2.png"""
right down,down,"""training_data/easy/boards/boards2075/step_3.png"""
right down right,right,"""training_data/easy/boards/boards2075/step_4.png"""
right down,down,"""training_data/easy/boards/boards2075/step_5.png"""
right down right,right,"""training_data/easy/boards/boards2075/step_6.png"""
down right,right,"""training_data/easy/boards/boards2075/step_7.png"""
down,down,"""training_data/easy/boards/boards2075/step_8.png"""
grip,grip,"""training_data/easy/boards/boards2075/step_9.png"""
up,up,"""training_data/easy/boards/boards1756/step_0.png"""
up,up,"""training_data/easy/boards/boards1756/step_1.png"""
up,left,"""training_data/easy/boards/boards1756/step_2.png"""
up,left,"""training_data/easy/boards/boards1756/step_3.png"""
up,left,"""training_data/easy/boards/boards1756/step_4.png"""
up,up,"""training_data/easy/boards/boards1756/step_5.png"""
up,up,"""training_data/easy/boards/boards1756/step_6.png"""
up,up,"""training_data/easy/boards/boards1756/step_7.png"""
up,left,"""training_data/easy/boards/boards1756/step_8.png"""
up,up,"""training_data/easy/boards/boards1756/step_9.png"""
grip,grip,"""training_data/easy/boards/boards1756/step_10.png"""
down,left,"""training_data/easy/boards/boards752/step_0.png"""
down,down,"""training_data/easy/boards/boards752/step_1.png"""
down,down,"""training_data/easy/boards/boards752/step_2.png"""
down,down,"""training_data/easy/boards/boards752/step_3.png"""
down,down,"""training_data/easy/boards/boards752/step_4.png"""
grip,grip,"""training_data/easy/boards/boards752/step_5.png"""
up left,up,"""training_data/easy/boards/boards807/step_0.png"""
up left,up,"""training_data/easy/boards/boards807/step_1.png"""
up left,up,"""training_data/easy/boards/boards807/step_2.png"""
up,up,"""training_data/easy/boards/boards807/step_3.png"""
left,up,"""training_data/easy/boards/boards807/step_4.png"""
left,left,"""training_data/easy/boards/boards807/step_5.png"""
left,up,"""training_data/easy/boards/boards807/step_6.png"""
left,up,"""training_data/easy/boards/boards807/step_7.png"""
left,left,"""training_data/easy/boards/boards807/step_8.png"""
left,left,"""training_data/easy/boards/boards807/step_9.png"""
left,left,"""training_data/easy/boards/boards807/step_10.png"""
left,left,"""training_data/easy/boards/boards807/step_11.png"""
grip,grip,"""training_data/easy/boards/boards807/step_12.png"""
up,up,"""training_data/easy/boards/boards739/step_0.png"""
up,up,"""training_data/easy/boards/boards739/step_1.png"""
up,up,"""training_data/easy/boards/boards739/step_2.png"""
up,up,"""training_data/easy/boards/boards739/step_3.png"""
up,up,"""training_data/easy/boards/boards739/step_4.png"""
